SurveilancePlace,Department,MonitorDate,Rate_Wave
H,Big,20121014,11.65
H,Big,20121015,10.09
H,Big,20121016,8.32
H,Big,20121017,10.75
H,Big,20121018,11.73
H,Big,20121019,14.78
H,Big,20121020,12.63
H,Big,20121022,13.43
H,Big,20121023,11.7
H,Big,20121024,12.8
H,Big,20121025,14.76
H,Big,20121026,13.74
H,Big,20121027,13.21
H,Big,20121028,13.06
H,Big,20121029,11.8
H,Big,20121030,14.17
H,Big,20121031,12.48
H,Big,20121101,14.58
H,Big,20121102,10.95
H,Big,20121103,1.6
H,Big,20121104,1.75
H,Big,20121105,1.7
H,Big,20121106,1.55
H,Big,20121107,1.85
H,Big,20121108,2.17
H,Big,20121109,1.8
H,Big,20121110,1.95
H,Big,20121111,1.72
H,Big,20121112,2.16
H,Big,20121113,1.85
H,Big,20121114,2
H,Big,20121115,2.56
H,Big,20121116,2.24
H,Big,20121117,1.88
H,Big,20121118,1.94
H,Big,20121119,1.86
H,Big,20121120,2.75
H,Big,20121121,2.05
H,Big,20121122,1.78
H,Big,20121123,1.73
H,Big,20121124,1.87
H,Big,20121125,1.6
H,Big,20121126,1.8
H,Big,20121127,1.87
H,Big,20121128,1.88
H,Big,20121129,1.91
H,Big,20121130,1.92
H,Big,20121201,3.15
H,Big,20121202,1.79
H,Big,20121203,3.29
H,Big,20121204,2.22
H,Big,20121205,2.79
H,Big,20121206,2.06
H,Big,20121207,1.95
H,Big,20121208,6.18
H,Big,20121209,3.06
H,Big,20121210,3.31
H,Big,20121211,1.82
H,Big,20121212,1.92
H,Big,20121213,2.45
H,Big,20121214,4.22
H,Big,20121215,2.45
H,Big,20121216,2.49
H,Big,20121217,2.01
H,Big,20121218,1.88
H,Big,20121219,2.01
H,Big,20121220,1.86
H,Big,20121221,1.88
H,Big,20121222,1.62
H,Big,20121223,1.99
H,Big,20121224,2.07
H,Big,20121225,1.71
H,Big,20121226,1.8
H,Big,20121227,1.77
H,Big,20121228,1.89
H,Big,20121229,1.56
H,Big,20121230,1.83
H,Big,20121231,1.8
H,Big,20130101,1.72
H,Big,20130102,1.73
H,Big,20130103,1.65
H,Big,20130104,1.66
H,Big,20130105,1.6
H,Big,20130106,1.83
H,Big,20130107,1.72
H,Big,20130108,4.62
H,Big,20130109,1.75
H,Big,20130110,1.9
H,Big,20130111,1.8
H,Big,20130112,3.02
H,Big,20130113,1.8
H,Big,20130114,1.82
H,Big,20130115,1.85
H,Big,20130116,1.83
H,Big,20130117,1.76
H,Big,20130118,1.8
H,Big,20130119,1.75
H,Big,20130120,1.85
H,Big,20130121,1.72
H,Big,20130122,1.97
H,Big,20130123,1.78
H,Big,20130124,1.75
H,Big,20130125,1.84
H,Big,20130126,1.91
H,Big,20130127,1.94
H,Big,20130128,1.73
H,Big,20130129,1.65
H,Big,20130130,1.85
H,Big,20130131,1.99
H,Big,20130201,1.8
H,Big,20130202,1.77
H,Big,20130203,1.95
H,Big,20130204,1.76
H,Big,20130205,1.94
H,Big,20130206,1.85
H,Big,20130207,1.69
H,Big,20130208,1.65
H,Big,20130209,2.04
H,Big,20130210,1.75
H,Big,20130211,1.63
H,Big,20130212,1.7
H,Big,20130213,1.75
H,Big,20130214,1.92
H,Big,20130215,1.66
H,Big,20130216,1.72
H,Big,20130217,1.85
H,Big,20130218,1.74
H,Big,20130219,1.73
H,Big,20130220,1.79
H,Big,20130221,1.66
H,Big,20130222,1.55
H,Big,20130223,1.93
H,Big,20130224,1.76
H,Big,20130225,3.22
H,Big,20130226,1.8
H,Big,20130227,1.75
H,Big,20130228,1.9
H,Big,20130301,1.76
H,Big,20130302,2.13
H,Big,20130303,2.87
H,Big,20130304,1.82
H,Big,20130305,2.3
H,Big,20130306,1.78
H,Big,20130307,1.87
H,Big,20130308,1.78
H,Big,20130309,2.08
H,Big,20130310,3.79
H,Big,20130311,1.95
H,Big,20130312,1.77
H,Big,20130313,2.14
H,Big,20130314,1.96
H,Big,20130315,1.81
H,Big,20130316,1.84
H,Big,20130317,2.95
H,Big,20130318,1.93
H,Big,20130319,3.58
H,Big,20130320,2.41
H,Big,20130321,3.4
H,Big,20130322,1.56
H,Big,20130323,1.8
H,Big,20130324,1.9
H,Big,20130325,6.12
H,Big,20130326,2.08
H,Big,20130327,1.84
H,Big,20130328,1.92
H,Big,20130329,2.16
H,Big,20130330,1.79
H,Big,20130331,8.75
Downtown,Big,20121001,9.05
Downtown,Big,20121002,9.29
Downtown,Big,20121003,10.69
Downtown,Big,20121004,6.62
Downtown,Big,20121005,9.13
Downtown,Big,20121006,9.5
Downtown,Big,20121007,13.25
Downtown,Big,20121008,11.88
Downtown,Big,20121009,10.11
Downtown,Big,20121010,9.47
Downtown,Big,20121011,11.14
Downtown,Big,20121012,9.2
Downtown,Big,20121013,12.53
Downtown,Big,20121014,12.78
Downtown,Big,20121015,8.94
Downtown,Big,20121016,7.25
Downtown,Big,20121017,10.03
Downtown,Big,20121018,11
Downtown,Big,20121019,13.17
Downtown,Big,20121020,12.32
Downtown,Big,20121022,12.77
Downtown,Big,20121023,11.23
Downtown,Big,20121024,11.76
Downtown,Big,20121025,14.32
Downtown,Big,20121026,11.76
Downtown,Big,20121027,12.38
Downtown,Big,20121028,11.55
Downtown,Big,20121029,11.23
Downtown,Big,20121030,13.28
Downtown,Big,20121031,11.35
Downtown,Big,20121101,13.81
Downtown,Big,20121104,15.35
Downtown,Big,20121112,12.29
Downtown,Big,20121113,37.13
Downtown,Big,20121114,1.6
Downtown,Big,20121115,1.65
Downtown,Big,20121116,1.68
Downtown,Big,20121117,1.93
Downtown,Big,20121118,1.83
Downtown,Big,20121119,1.74
Downtown,Big,20121120,1.68
Downtown,Big,20121121,1.84
Downtown,Big,20121122,1.76
Downtown,Big,20121123,1.63
Downtown,Big,20121124,1.83
Downtown,Big,20121125,3.48
Downtown,Big,20121126,1.68
Downtown,Big,20121127,1.57
Downtown,Big,20121128,1.63
Downtown,Big,20121129,1.95
Downtown,Big,20121130,1.87
Downtown,Big,20121201,1.78
Downtown,Big,20121202,1.84
Downtown,Big,20121203,1.6
Downtown,Big,20121204,1.61
Downtown,Big,20121205,1.66
Downtown,Big,20121206,1.86
Downtown,Big,20121207,1.7
